strain	isolate_id	host	date	region	country	division	virus
A/chicken/CA/24-032296-001-original/2024_H5N1	PQ797950.1,PQ797951.1,PQ797952.1,PQ797953.1,PQ797954.1,PQ797955.1,PQ797956.1,PQ797957.1	Chicken	2024-10-30	North America	USA	California	H5N1
A/chicken/CA/24-032296-002-original/2024_H5N1	PQ797958.1,PQ797959.1,PQ797960.1,PQ797961.1,PQ797962.1,PQ797963.1,PQ797964.1,PQ797965.1	Chicken	2024-10-30	North America	USA	California	H5N1
A/chicken/CA/24-034441-001-original/2024_H5N1	PQ844043.1,PQ844044.1,PQ844045.1,PQ844046.1,PQ844047.1,PQ844048.1,PQ844049.1,PQ844050.1	Chicken	2024-11-18	North America	USA	California	H5N1
A/chicken/CA/24-034441-003-original/2024_H5N1	PQ844051.1,PQ844052.1,PQ844053.1,PQ844054.1,PQ844055.1,PQ844056.1,PQ844057.1,PQ844058.1	Chicken	2024-11-18	North America	USA	California	H5N1
A/chicken/CA/24-034655-001-original/2024_H5N1	PQ844059.1,PQ844060.1,PQ844061.1,PQ844062.1,PQ844063.1,PQ844064.1,PQ844065.1,PQ844066.1	Chicken	2024-11-18	North America	USA	California	H5N1
A/chicken/CA/24-038445-001-original/2024_H5N1	PV161596.1,PV161597.1,PV161598.1,PV161599.1,PV161600.1,PV161601.1,PV161602.1,PV161603.1	Chicken	2024-12-19	North America	USA	California	H5N1
A/chicken/CA/24-038654-001-original/2024_H5N1	PV161604.1,PV161605.1,PV161606.1,PV161607.1,PV161608.1,PV161609.1,PV161610.1,PV161611.1	Chicken	2024-12-03	North America	USA	California	H5N1
A/chicken/CA/24-038654-002-original/2024_H5N1	PV161612.1,PV161613.1,PV161614.1,PV161615.1,PV161616.1,PV161617.1,PV161618.1,PV161619.1	Chicken	2024-12-03	North America	USA	California	H5N1
A/chicken/CA/24-038654-003-original/2024_H5N1	PV161620.1,PV161621.1,PV161622.1,PV161623.1,PV161624.1,PV161625.1,PV161626.1,PV161627.1	Chicken	2024-12-03	North America	USA	California	H5N1
A/chicken/CA/24-038656-001-original/2024_H5N1	PV161636.1,PV161637.1,PV161638.1,PV161639.1,PV161640.1,PV161641.1,PV161642.1,PV161643.1	Chicken	2024-12-26	North America	USA	California	H5N1
A/chicken/CA/24-038656-002-original/2024_H5N1	PV161644.1,PV161645.1,PV161646.1,PV161647.1,PV161648.1,PV161649.1,PV161650.1,PV161651.1	Chicken	2024-12-26	North America	USA	California	H5N1
A/chicken/CA/24-038656-003-original/2024_H5N1	PV161652.1,PV161653.1,PV161654.1,PV161655.1,PV161656.1,PV161657.1,PV161658.1,PV161659.1	Chicken	2024-12-26	North America	USA	California	H5N1
A/chicken/CA/24-038656-004-original/2024_H5N1	PV161660.1,PV161661.1,PV161662.1,PV161663.1,PV161664.1,PV161665.1,PV161666.1,PV161667.1	Chicken	2024-12-26	North America	USA	California	H5N1
A/chicken/CA/24-038656-005-original/2024_H5N1	PV161668.1,PV161669.1,PV161670.1,PV161671.1,PV161672.1,PV161673.1,PV161674.1,PV161675.1	Chicken	2024-12-26	North America	USA	California	H5N1
A/chicken/CA/24-038656-006-original/2024_H5N1	PV161676.1,PV161677.1,PV161678.1,PV161679.1,PV161680.1,PV161681.1,PV161682.1,PV161683.1	Chicken	2024-12-26	North America	USA	California	H5N1
A/chicken/CA/24-038656-007-original/2024_H5N1	PV161684.1,PV161685.1,PV161686.1,PV161687.1,PV161688.1,PV161689.1,PV161690.1,PV161691.1	Chicken	2024-12-26	North America	USA	California	H5N1
A/chicken/CA/24-038656-008-original/2024_H5N1	PV161692.1,PV161693.1,PV161694.1,PV161695.1,PV161696.1,PV161697.1,PV161698.1,PV161699.1	Chicken	2024-12-26	North America	USA	California	H5N1
A/chicken/CA/24-038656-009-original/2024_H5N1	PV161700.1,PV161701.1,PV161702.1,PV161703.1,PV161704.1,PV161705.1,PV161706.1,PV161707.1	Chicken	2024-12-26	North America	USA	California	H5N1
A/chicken/CA/24-038947-002-original/2024_H5N1	PV161708.1,PV161709.1,PV161710.1,PV161711.1,PV161712.1,PV161713.1,PV161714.1,PV161715.1	Chicken	2024-12-26	North America	USA	California	H5N1
A/chicken/CA/24-038947-003-original/2024_H5N1	PV161716.1,PV161717.1,PV161718.1,PV161719.1,PV161720.1,PV161721.1,PV161722.1,PV161723.1	Chicken	2024-12-26	North America	USA	California	H5N1
A/chicken/CA/24-038947-006-original/2024_H5N1	PV161724.1,PV161725.1,PV161726.1,PV161727.1,PV161728.1,PV161729.1,PV161730.1,PV161731.1	Chicken	2024-12-26	North America	USA	California	H5N1
A/chicken/CA/24-038947-007-original/2024_H5N1	PV161732.1,PV161733.1,PV161734.1,PV161735.1,PV161736.1,PV161737.1,PV161738.1,PV161739.1	Chicken	2024-12-26	North America	USA	California	H5N1
A/chicken/CA/24-038993-001-original/2024_H5N1	PV161804.1,PV161805.1,PV161806.1,PV161807.1,PV161808.1,PV161809.1,PV161810.1,PV161811.1	Chicken	2024-12-27	North America	USA	California	H5N1
A/chicken/CA/24-038993-002-original/2024_H5N1	PV161812.1,PV161813.1,PV161814.1,PV161815.1,PV161816.1,PV161817.1,PV161818.1,PV161819.1	Chicken	2024-12-27	North America	USA	California	H5N1
A/chicken/CA/24-038993-003-original/2024_H5N1	PV161820.1,PV161821.1,PV161822.1,PV161823.1,PV161824.1,PV161825.1,PV161826.1,PV161827.1	Chicken	2024-12-27	North America	USA	California	H5N1
A/chicken/CA/25-001480-001-original/2025_H5N1	PV218942.1,PV218943.1,PV218944.1,PV218945.1,PV218946.1,PV218947.1,PV218948.1,PV218949.1	Chicken	2025-XX-XX	North America	USA	California	H5N1
A/chicken/CA/25-001480-002-original/2025_H5N1	PV218950.1,PV218951.1,PV218952.1,PV218953.1,PV218954.1,PV218955.1,PV218956.1,PV218957.1	Chicken	2025-XX-XX	North America	USA	California	H5N1
A/chicken/CA/25-001480-003-original/2025_H5N1	PV218958.1,PV218959.1,PV218960.1,PV218961.1,PV218962.1,PV218963.1,PV218964.1,PV218965.1	Chicken	2025-XX-XX	North America	USA	California	H5N1
A/chicken/CA/25-001480-006-original/2025_H5N1	PV218966.1,PV218967.1,PV218968.1,PV218969.1,PV218970.1,PV218971.1,PV218972.1,PV218973.1	Chicken	2025-XX-XX	North America	USA	California	H5N1
A/chicken/CA/25-003060-001-original/2024_H5N1	PV338937.1,PV338938.1,PV338939.1,PV338940.1,PV338941.1,PV338942.1,PV338943.1,PV338944.1	Chicken	2024-12-21	North America	USA	California	H5N1
A/chicken/CO/24-036613-001-original/2024_H5N1	PV060494.1,PV060495.1,PV060496.1,PV060497.1,PV060498.1,PV060499.1,PV060500.1,PV060501.1	Chicken	2024-12-04	North America	USA	Colorado	H5N1
A/chicken/CT/25-001332-001-original/2025_H5N1	PV218974.1,PV218975.1,PV218976.1,PV218977.1,PV218978.1,PV218979.1,PV218980.1,PV218981.1	Chicken	2025-XX-XX	North America	USA	Connecticut	H5N1
A/chicken/CT/25-001332-002-original/2025_H5N1	PV218982.1,PV218983.1,PV218984.1,PV218985.1,PV218986.1,PV218987.1,PV218988.1,PV218989.1	Chicken	2025-XX-XX	North America	USA	Connecticut	H5N1
A/chicken/CT/25-001332-003-original/2025_H5N1	PV218990.1,PV218991.1,PV218992.1,PV218993.1,PV218994.1,PV218995.1,PV218996.1,PV218997.1	Chicken	2025-XX-XX	North America	USA	Connecticut	H5N1
A/chicken/DE/25-000201-001-original/2025_H5N1	PV161908.1,PV161909.1,PV161910.1,PV161911.1,PV161912.1,PV161913.1,PV161914.1,PV161915.1	Chicken	2025-01-02	North America	USA	Delaware	H5N1
A/chicken/DE/25-002825-001-original/2025_H5N1	PV338945.1,PV338946.1,PV338947.1,PV338948.1,PV338949.1,PV338950.1,PV338951.1,PV338952.1	Chicken	2025-01-25	North America	USA	Delaware	H5N1
A/chicken/FL/25-000345-001-original/2025_H5N1	PV161948.1,PV161949.1,PV161950.1,PV161951.1,PV161952.1,PV161953.1,PV161954.1,PV161955.1	Chicken	2025-01-02	North America	USA	Florida	H5N1
A/chicken/FL/25-000345-002-original/2025_H5N1	PV161956.1,PV161957.1,PV161958.1,PV161959.1,PV161960.1,PV161961.1,PV161962.1,PV161963.1	Chicken	2025-01-02	North America	USA	Florida	H5N1
