strain	isolate_id	host	date	region	country	division	virus
A/chicken/MD/25-003479-001-original/2025_H5N1	PV339065.1,PV339066.1,PV339067.1,PV339068.1,PV339069.1,PV339070.1,PV339071.1,PV339072.1	Chicken	2025-01-28	North America	USA	Maryland	H5N1
A/chicken/MD/25-003479-002-original/2025_H5N1	PV339073.1,PV339074.1,PV339075.1,PV339076.1,PV339077.1,PV339078.1,PV339079.1,PV339080.1	Chicken	2025-01-28	North America	USA	Maryland	H5N1
A/chicken/MI/25-001518-001-original/2025_H5N1	PV219086.1,PV219087.1,PV219088.1,PV219089.1,PV219090.1,PV219091.1,PV219092.1,PV219093.1	Chicken	2025-XX-XX	North America	USA	Michigan	H5N1
A/chicken/MN/24-038159-002-original/2024_H5N1	PV072322.1,PV072323.1,PV072324.1,PV072325.1,PV072326.1,PV072327.1,PV072328.1,PV072329.1	Chicken	2024-12-17	North America	USA	Minnesota	H5N1
A/chicken/MO/24-036609-001-original/2024_H5N1	PV060502.1,PV060503.1,PV060504.1,PV060505.1,PV060506.1,PV060507.1,PV060508.1,PV060509.1	Chicken	2024-12-07	North America	USA	Missouri	H5N1
A/chicken/MO/24-036609-002-original/2024_H5N1	PV060510.1,PV060511.1,PV060512.1,PV060513.1,PV060514.1,PV060515.1,PV060516.1,PV060517.1	Chicken	2024-12-07	North America	USA	Missouri	H5N1
A/chicken/MO/24-037561-001-original/2024_H5N1	PV072330.1,PV072331.1,PV072332.1,PV072333.1,PV072334.1,PV072335.1,PV072336.1,PV072337.1	Chicken	2024-12-14	North America	USA	Missouri	H5N1
A/chicken/MO/24-038439-001-original/2024_H5N1	PV162100.1,PV162101.1,PV162102.1,PV162103.1,PV162104.1,PV162105.1,PV162106.1,PV162107.1	Chicken	2024-12-23	North America	USA	Missouri	H5N1
A/chicken/MO/24-038439-002-original/2024_H5N1	PV162108.1,PV162109.1,PV162110.1,PV162111.1,PV162112.1,PV162113.1,PV162114.1,PV162115.1	Chicken	2024-12-23	North America	USA	Missouri	H5N1
A/chicken/MO/24-038617-001-original/2024_H5N1	PV162132.1,PV162133.1,PV162134.1,PV162135.1,PV162136.1,PV162137.1,PV162138.1,PV162139.1	Chicken	2024-12-23	North America	USA	Missouri	H5N1
A/chicken/MO/24-038617-002-original/2024_H5N1	PV162140.1,PV162141.1,PV162142.1,PV162143.1,PV162144.1,PV162145.1,PV162146.1,PV162147.1	Chicken	2024-12-23	North America	USA	Missouri	H5N1
A/chicken/MO/24-038619-001-original/2024_H5N1	PV162148.1,PV162149.1,PV162150.1,PV162151.1,PV162152.1,PV162153.1,PV162154.1,PV162155.1	Chicken	2024-12-23	North America	USA	Missouri	H5N1
A/chicken/MO/25-000477-001-original/2025_H5N1	PV162156.1,PV162157.1,PV162158.1,PV162159.1,PV162160.1,PV162161.1,PV162162.1,PV162163.1	Chicken	2025-01-02	North America	USA	Missouri	H5N1
A/chicken/MO/25-001087-001-original/2025_H5N1	PV219094.1,PV219095.1,PV219096.1,PV219097.1,PV219098.1,PV219099.1,PV219100.1,PV219101.1	Chicken	2025-XX-XX	North America	USA	Missouri	H5N1
A/chicken/MO/25-001087-002-original/2025_H5N1	PV219102.1,PV219103.1,PV219104.1,PV219105.1,PV219106.1,PV219107.1,PV219108.1,PV219109.1	Chicken	2025-XX-XX	North America	USA	Missouri	H5N1
A/chicken/MO/25-001087-003-original/2025_H5N1	PV219110.1,PV219111.1,PV219112.1,PV219113.1,PV219114.1,PV219115.1,PV219116.1,PV219117.1	Chicken	2025-XX-XX	North America	USA	Missouri	H5N1
A/chicken/MO/25-001087-004-original/2025_H5N1	PV219118.1,PV219119.1,PV219120.1,PV219121.1,PV219122.1,PV219123.1,PV219124.1,PV219125.1	Chicken	2025-XX-XX	North America	USA	Missouri	H5N1
A/chicken/MO/25-002892-001-original/2025_H5N1	PV339081.1,PV339082.1,PV339083.1,PV339084.1,PV339085.1,PV339086.1,PV339087.1,PV339088.1	Chicken	2025-01-26	North America	USA	Missouri	H5N1
A/chicken/MO/25-002892-002-original/2025_H5N1	PV339089.1,PV339090.1,PV339091.1,PV339092.1,PV339093.1,PV339094.1,PV339095.1,PV339096.1	Chicken	2025-01-26	North America	USA	Missouri	H5N1
A/chicken/MO/25-002892-003-original/2025_H5N1	PV339097.1,PV339098.1,PV339099.1,PV339100.1,PV339101.1,PV339102.1,PV339103.1,PV339104.1	Chicken	2025-01-26	North America	USA	Missouri	H5N1
A/chicken/MO/25-003398-001-original/2025_H5N1	PV339105.1,PV339106.1,PV339107.1,PV339108.1,PV339109.1,PV339110.1,PV339111.1,PV339112.1	Chicken	2025-01-30	North America	USA	Missouri	H5N1
A/chicken/MO/25-003398-002-original/2025_H5N1	PV339113.1,PV339114.1,PV339115.1,PV339116.1,PV339117.1,PV339118.1,PV339119.1,PV339120.1	Chicken	2025-01-30	North America	USA	Missouri	H5N1
A/chicken/MS/24-038164-001-original/2024_H5N1	PV072338.1,PV072339.1,PV072340.1,PV072341.1,PV072342.1,PV072343.1,PV072344.1,PV072345.1	Chicken	2024-12-19	North America	USA	Mississippi	H5N1
A/chicken/MS/24-038907-001-original/2024_H5N1	PV162164.1,PV162165.1,PV162166.1,PV162167.1,PV162168.1,PV162169.1,PV162170.1,PV162171.1	Chicken	2024-12-27	North America	USA	Mississippi	H5N1
A/chicken/MS/24-038969-001-original/2024_H5N1	PV162172.1,PV162173.1,PV162174.1,PV162175.1,PV162176.1,PV162177.1,PV162178.1,PV162179.1	Chicken	2024-12-27	North America	USA	Mississippi	H5N1
A/chicken/MT/24-032160-001-original/2024_H5N1	PQ797966.1,PQ797967.1,PQ797968.1,PQ797969.1,PQ797970.1,PQ797971.1,PQ797972.1,PQ797973.1	Chicken	2024-10-24	North America	USA	Montana	H5N1
A/chicken/MT/24-032160-002-original/2024_H5N1	PQ797974.1,PQ797975.1,PQ797976.1,PQ797977.1,PQ797978.1,PQ797979.1,PQ797980.1,PQ797981.1	Chicken	2024-10-24	North America	USA	Montana	H5N1
A/chicken/MT/24-032160-003-original/2024_H5N1	PQ797982.1,PQ797983.1,PQ797984.1,PQ797985.1,PQ797986.1,PQ797987.1,PQ797988.1,PQ797989.1	Chicken	2024-10-24	North America	USA	Montana	H5N1
A/chicken/MT/24-032160-004-original/2024_H5N1	PQ797990.1,PQ797991.1,PQ797992.1,PQ797993.1,PQ797994.1,PQ797995.1,PQ797996.1,PQ797997.1	Chicken	2024-10-24	North America	USA	Montana	H5N1
A/chicken/NC/25-000300-001-original/2025_H5N1	PV162180.1,PV162181.1,PV162182.1,PV162183.1,PV162184.1,PV162185.1,PV162186.1,PV162187.1	Chicken	2025-01-06	North America	USA	North Carolina	H5N1
A/chicken/NC/25-000300-002-original/2025_H5N1	PV162188.1,PV162189.1,PV162190.1,PV162191.1,PV162192.1,PV162193.1,PV162194.1,PV162195.1	Chicken	2025-01-06	North America	USA	North Carolina	H5N1
A/chicken/ND/24-034804-001-original/2024_H5N1	PQ844083.1,PQ844084.1,PQ844085.1,PQ844086.1,PQ844087.1,PQ844088.1,PQ844089.1,PQ844090.1	Chicken	2024-11-21	North America	USA	North Dakota	H5N1
A/chicken/NE/24-036856-001-original/2024_H5N1	PV060518.1,PV060519.1,PV060520.1,PV060521.1,PV060522.1,PV060523.1,PV060524.1,PV060525.1	Chicken	2024-12-09	North America	USA	Nebraska	H5N1
A/chicken/NE/24-037436-001-original/2024_H5N1	PV072346.1,PV072347.1,PV072348.1,PV072349.1,PV072350.1,PV072351.1,PV072352.1,PV072353.1	Chicken	2024-12-12	North America	USA	Nebraska	H5N1
A/chicken/NE/24-037436-002-original/2024_H5N1	PV072354.1,PV072355.1,PV072356.1,PV072357.1,PV072358.1,PV072359.1,PV072360.1,PV072361.1	Chicken	2024-12-12	North America	USA	Nebraska	H5N1
A/chicken/NE/24-037518-001-original/2024_H5N1	PV072362.1,PV072363.1,PV072364.1,PV072365.1,PV072366.1,PV072367.1,PV072368.1,PV072369.1	Chicken	2024-12-13	North America	USA	Nebraska	H5N1
A/chicken/NE/24-038831-001-original/2024_H5N1	PV162204.1,PV162205.1,PV162206.1,PV162207.1,PV162208.1,PV162209.1,PV162210.1,PV162211.1	Chicken	2024-12-25	North America	USA	Nebraska	H5N1
A/chicken/NE/24-038831-002-original/2024_H5N1	PV162212.1,PV162213.1,PV162214.1,PV162215.1,PV162216.1,PV162217.1,PV162218.1,PV162219.1	Chicken	2024-12-25	North America	USA	Nebraska	H5N1
A/chicken/NE/25-002670-004-original/2025_H5N1	PV339121.1,PV339122.1,PV339123.1,PV339124.1,PV339125.1,PV339126.1,PV339127.1,PV339128.1	Chicken	2025-01-23	North America	USA	Nebraska	H5N1
A/chicken/NE/25-003247-002-original/2025_H5N1	PV339129.1,PV339130.1,PV339131.1,PV339132.1,PV339133.1,PV339134.1,PV339135.1,PV339136.1	Chicken	2025-01-27	North America	USA	Nebraska	H5N1
A/chicken/NE/25-003247-004-original/2025_H5N1	PV339137.1,PV339138.1,PV339139.1,PV339140.1,PV339141.1,PV339142.1,PV339143.1,PV339144.1	Chicken	2025-01-27	North America	USA	Nebraska	H5N1
A/chicken/NY/25-004071-003-original/2025_H5N1	PV339145.1,PV339146.1,PV339147.1,PV339148.1,PV339149.1,PV339150.1,PV339151.1,PV339152.1	Chicken	2025-02-02	North America	USA	New York	H5N1
A/chicken/NY/25-004071-004-original/2025_H5N1	PV339153.1,PV339154.1,PV339155.1,PV339156.1,PV339157.1,PV339158.1,PV339159.1,PV339160.1	Chicken	2025-02-02	North America	USA	New York	H5N1
A/chicken/NY/25-004071-005-original/2025_H5N1	PV339161.1,PV339162.1,PV339163.1,PV339164.1,PV339165.1,PV339166.1,PV339167.1,PV339168.1	Chicken	2025-02-02	North America	USA	New York	H5N1
A/chicken/NY/25-004071-008-original/2025_H5N1	PV339169.1,PV339170.1,PV339171.1,PV339172.1,PV339173.1,PV339174.1,PV339175.1,PV339176.1	Chicken	2025-02-02	North America	USA	New York	H5N1
A/chicken/OK/24-034639-001-original/2024_H5N1	PQ844091.1,PQ844092.1,PQ844093.1,PQ844094.1,PQ844095.1,PQ844096.1,PQ844097.1,PQ844098.1	Chicken	2024-11-19	North America	USA	Oklahoma	H5N1
A/chicken/OK/24-034639-002-original/2024_H5N1	PQ844099.1,PQ844100.1,PQ844101.1,PQ844102.1,PQ844103.1,PQ844104.1,PQ844105.1,PQ844106.1	Chicken	2024-11-19	North America	USA	Oklahoma	H5N1
A/chicken/OK/24-035675-001-original/2024_H5N1	PQ892963.1,PQ892964.1,PQ892965.1,PQ892966.1,PQ892967.1,PQ892968.1,PQ892969.1,PQ892970.1	Chicken	2024-11-29	North America	USA	Oklahoma	H5N1
A/chicken/OK/24-035675-002-original/2024_H5N1	PQ892971.1,PQ892972.1,PQ892973.1,PQ892974.1,PQ892975.1,PQ892976.1,PQ892977.1,PQ892978.1	Chicken	2024-11-29	North America	USA	Oklahoma	H5N1
A/chicken/OK/24-035675-003-original/2024_H5N1	PQ892979.1,PQ892980.1,PQ892981.1,PQ892982.1,PQ892983.1,PQ892984.1,PQ892985.1,PQ892986.1	Chicken	2024-11-29	North America	USA	Oklahoma	H5N1
A/chicken/OK/24-036668-001-original/2024_H5N1	PV060526.1,PV060527.1,PV060528.1,PV060529.1,PV060530.1,PV060531.1,PV060532.1,PV060533.1	Chicken	2024-12-08	North America	USA	Oklahoma	H5N1
A/chicken/OK/24-036668-002-original/2024_H5N1	PV060534.1,PV060535.1,PV060536.1,PV060537.1,PV060538.1,PV060539.1,PV060540.1,PV060541.1	Chicken	2024-12-08	North America	USA	Oklahoma	H5N1
A/chicken/OK/24-036668-003-original/2024_H5N1	PV060542.1,PV060543.1,PV060544.1,PV060545.1,PV060546.1,PV060547.1,PV060548.1,PV060549.1	Chicken	2024-12-08	North America	USA	Oklahoma	H5N1
A/chicken/OR/24-030904-001-original/2024_H5N1	PQ664422.1,PQ664423.1,PQ664424.1,PQ664425.1,PQ664426.1,PQ664427.1,PQ664428.1,PQ664429.1	Chicken	2024-10-21	North America	USA	Oregon	H5N1
A/chicken/OR/24-030904-002-original/2024_H5N1	PQ664430.1,PQ664431.1,PQ664432.1,PQ664433.1,PQ664434.1,PQ664435.1,PQ664436.1,PQ664437.1	Chicken	2024-10-21	North America	USA	Oregon	H5N1
A/chicken/OR/24-037945-001-original/2024_H5N1	PV072370.1,PV072371.1,PV072372.1,PV072373.1,PV072374.1,PV072375.1,PV072376.1,PV072377.1	Chicken	2024-12-10	North America	USA	Oregon	H5N1
A/chicken/OR/24-037945-002-original/2024_H5N1	PV072378.1,PV072379.1,PV072380.1,PV072381.1,PV072382.1,PV072383.1,PV072384.1,PV072385.1	Chicken	2024-12-10	North America	USA	Oregon	H5N1
A/chicken/OR/25-000540-001-original/2025_H5N1	PV162252.1,PV162253.1,PV162254.1,PV162255.1,PV162256.1,PV162257.1,PV162258.1,PV162259.1	Chicken	2025-01-05	North America	USA	Oregon	H5N1
A/chicken/OR/25-000540-002-original/2025_H5N1	PV162260.1,PV162261.1,PV162262.1,PV162263.1,PV162264.1,PV162265.1,PV162266.1,PV162267.1	Chicken	2025-01-05	North America	USA	Oregon	H5N1
A/chicken/PA/25-002883-002-original/2025_H5N1	PV339225.1,PV339226.1,PV339227.1,PV339228.1,PV339229.1,PV339230.1,PV339231.1,PV339232.1	Chicken	2025-01-27	North America	USA	Pennsylvania	H5N1
A/chicken/PA/25-002883-003-original/2025_H5N1	PV339233.1,PV339234.1,PV339235.1,PV339236.1,PV339237.1,PV339238.1,PV339239.1,PV339240.1	Chicken	2025-01-27	North America	USA	Pennsylvania	H5N1
A/chicken/PA/25-002883-004-original/2025_H5N1	PV339241.1,PV339242.1,PV339243.1,PV339244.1,PV339245.1,PV339246.1,PV339247.1,PV339248.1	Chicken	2025-01-27	North America	USA	Pennsylvania	H5N1
A/chicken/PA/25-003317-004-original/2025_H5N1	PV339249.1,PV339250.1,PV339251.1,PV339252.1,PV339253.1,PV339254.1,PV339255.1,PV339256.1	Chicken	2025-01-27	North America	USA	Pennsylvania	H5N1
A/chicken/SD/24-033963-001-original/2024_H5N1	PQ844107.1,PQ844108.1,PQ844109.1,PQ844110.1,PQ844111.1,PQ844112.1,PQ844113.1,PQ844114.1	Chicken	2024-11-13	North America	USA	South Dakota	H5N1
A/chicken/SD/24-037531-001-original/2024_H5N1	PV072386.1,PV072387.1,PV072388.1,PV072389.1,PV072390.1,PV072391.1,PV072392.1,PV072393.1	Chicken	2024-12-11	North America	USA	South Dakota	H5N1
A/chicken/SD/25-000286-002-original/2025_H5N1	PV162300.1,PV162301.1,PV162302.1,PV162303.1,PV162304.1,PV162305.1,PV162306.1,PV162307.1	Chicken	2025-01-03	North America	USA	South Dakota	H5N1
A/chicken/SD/25-000692-001-original/2025_H5N1	PV162308.1,PV162309.1,PV162310.1,PV162311.1,PV162312.1,PV162313.1,PV162314.1,PV162315.1	Chicken	2025-01-06	North America	USA	South Dakota	H5N1
A/chicken/TN/24-035519-003-original/2024_H5N1	PQ893003.1,PQ893004.1,PQ893005.1,PQ893006.1,PQ893007.1,PQ893008.1,PQ893009.1,PQ893010.1	Chicken	2024-11-26	North America	USA	Tennessee	H5N1
A/chicken/TN/24-035519-004-original/2024_H5N1	PQ893011.1,PQ893012.1,PQ893013.1,PQ893014.1,PQ893015.1,PQ893016.1,PQ893017.1,PQ893018.1	Chicken	2024-11-26	North America	USA	Tennessee	H5N1
A/chicken/TN/24-035519-005-original/2024_H5N1	PQ893019.1,PQ893020.1,PQ893021.1,PQ893022.1,PQ893023.1,PQ893024.1,PQ893025.1,PQ893026.1	Chicken	2024-11-26	North America	USA	Tennessee	H5N1
A/chicken/TN/24-038885-001-original/2024_H5N1	PV162316.1,PV162317.1,PV162318.1,PV162319.1,PV162320.1,PV162321.1,PV162322.1,PV162323.1	Chicken	2024-12-26	North America	USA	Tennessee	H5N1
A/chicken/TN/24-038885-002-original/2024_H5N1	PV162324.1,PV162325.1,PV162326.1,PV162327.1,PV162328.1,PV162329.1,PV162330.1,PV162331.1	Chicken	2024-12-26	North America	USA	Tennessee	H5N1
A/chicken/TN/25-001531-001-original/2025_H5N1	PV219150.1,PV219151.1,PV219152.1,PV219153.1,PV219154.1,PV219155.1,PV219156.1,PV219157.1	Chicken	2025-XX-XX	North America	USA	Tennessee	H5N1
A/chicken/UT/24-034635-001-original/2024_H5N1	PQ844115.1,PQ844116.1,PQ844117.1,PQ844118.1,PQ844119.1,PQ844120.1,PQ844121.1,PQ844122.1	Chicken	2024-11-18	North America	USA	Utah	H5N1
A/chicken/UT/24-035260-001-original/2024_H5N1	PQ893027.1,PQ893028.1,PQ893029.1,PQ893030.1,PQ893031.1,PQ893032.1,PQ893033.1,PQ893034.1	Chicken	2024-11-21	North America	USA	Utah	H5N1
A/chicken/UT/24-035260-002-original/2024_H5N1	PQ893035.1,PQ893036.1,PQ893037.1,PQ893038.1,PQ893039.1,PQ893040.1,PQ893041.1,PQ893042.1	Chicken	2024-11-21	North America	USA	Utah	H5N1
A/chicken/VT/24-038443-001-original/2024_H5N1	PV162332.1,PV162333.1,PV162334.1,PV162335.1,PV162336.1,PV162337.1,PV162338.1,PV162339.1	Chicken	2024-12-19	North America	USA	Vermont	H5N1
A/chicken/VT/24-038443-002-original/2024_H5N1	PV162340.1,PV162341.1,PV162342.1,PV162343.1,PV162344.1,PV162345.1,PV162346.1,PV162347.1	Chicken	2024-12-19	North America	USA	Vermont	H5N1
A/chicken/VT/24-038443-003-original/2024_H5N1	PV162348.1,PV162349.1,PV162350.1,PV162351.1,PV162352.1,PV162353.1,PV162354.1,PV162355.1	Chicken	2024-12-19	North America	USA	Vermont	H5N1
A/chicken/WA/24-030039-001/2024_H5N1	PQ664438.1,PQ664439.1,PQ664440.1,PQ664441.1,PQ664442.1,PQ664443.1,PQ664444.1,PQ664445.1	Chicken	2024-10-11	North America	USA	Washington	H5N1
A/chicken/WA/24-030039-002/2024_H5N1	PQ664446.1,PQ664447.1,PQ664448.1,PQ664449.1,PQ664450.1,PQ664451.1,PQ664452.1,PQ664453.1	Chicken	2024-10-11	North America	USA	Washington	H5N1
A/chicken/WA/24-031352-001-original/2024_H5N1	PQ664454.1,PQ664455.1,PQ664456.1,PQ664457.1,PQ664458.1,PQ664459.1,PQ664460.1,PQ664461.1	Chicken	2024-10-21	North America	USA	Washington	H5N1
A/chicken/WA/24-031352-002-original/2024_H5N1	PQ664462.1,PQ664463.1,PQ664464.1,PQ664465.1,PQ664466.1,PQ664467.1,PQ664468.1,PQ664469.1	Chicken	2024-10-21	North America	USA	Washington	H5N1
A/chicken/WA/24-031352-003-original/2024_H5N1	PQ664470.1,PQ664471.1,PQ664472.1,PQ664473.1,PQ664474.1,PQ664475.1,PQ664476.1,PQ664477.1	Chicken	2024-10-21	North America	USA	Washington	H5N1
A/chicken/WA/24-032191-001-original/2024_H5N1	PQ797998.1,PQ797999.1,PQ798000.1,PQ798001.1,PQ798002.1,PQ798003.1,PQ798004.1,PQ798005.1	Chicken	2024-10-30	North America	USA	Washington	H5N1
A/chicken/WA/24-032191-002-original/2024_H5N1	PQ798006.1,PQ798007.1,PQ798008.1,PQ798009.1,PQ798010.1,PQ798011.1,PQ798012.1,PQ798013.1	Chicken	2024-10-30	North America	USA	Washington	H5N1
A/chicken/WA/24-032191-003-original/2024_H5N1	PQ798014.1,PQ798015.1,PQ798016.1,PQ798017.1,PQ798018.1,PQ798019.1,PQ798020.1,PQ798021.1	Chicken	2024-10-30	North America	USA	Washington	H5N1
A/chicken/WA/24-032191-004-original/2024_H5N1	PQ798022.1,PQ798023.1,PQ798024.1,PQ798025.1,PQ798026.1,PQ798027.1,PQ798028.1,PQ798029.1	Chicken	2024-10-30	North America	USA	Washington	H5N1
A/chicken/WA/24-032192-001-original/2024_H5N1	PQ798030.1,PQ798031.1,PQ798032.1,PQ798033.1,PQ798034.1,PQ798035.1,PQ798036.1,PQ798037.1	Chicken	2024-10-28	North America	USA	Washington	H5N1
A/chicken/WA/24-032809-001-original/2024_H5N1	PQ798038.1,PQ798039.1,PQ798040.1,PQ798041.1,PQ798042.1,PQ798043.1,PQ798044.1,PQ798045.1	Chicken	2024-11-05	North America	USA	Washington	H5N1
A/chicken/WA/24-032809-002-original/2024_H5N1	PQ798046.1,PQ798047.1,PQ798048.1,PQ798049.1,PQ798050.1,PQ798051.1,PQ798052.1,PQ798053.1	Chicken	2024-11-05	North America	USA	Washington	H5N1
A/chicken/WA/24-034062-001-original/2024_H5N1	PQ844123.1,PQ844124.1,PQ844125.1,PQ844126.1,PQ844127.1,PQ844128.1,PQ844129.1,PQ844130.1	Chicken	2024-11-13	North America	USA	Washington	H5N1
A/chicken/WI/24-037974-001-original/2024_H5N1	PV072394.1,PV072395.1,PV072396.1,PV072397.1,PV072398.1,PV072399.1,PV072400.1,PV072401.1	Chicken	2024-12-17	North America	USA	Wisconsin	H5N1
A/chicken/WV/25-000049-001-original/2024_H5N1	PV162356.1,PV162357.1,PV162358.1,PV162359.1,PV162360.1,PV162361.1,PV162362.1,PV162363.1	Chicken	2024-12-31	North America	USA	West Virginia	H5N1
A/chicken/WV/25-000049-002-original/2024_H5N1	PV162364.1,PV162365.1,PV162366.1,PV162367.1,PV162368.1,PV162369.1,PV162370.1,PV162371.1	Chicken	2024-12-31	North America	USA	West Virginia	H5N1
A/chicken/WV/25-000049-003-original/2024_H5N1	PV162372.1,PV162373.1,PV162374.1,PV162375.1,PV162376.1,PV162377.1,PV162378.1,PV162379.1	Chicken	2024-12-31	North America	USA	West Virginia	H5N1
A/chicken/WV/25-000049-004-original/2024_H5N1	PV162380.1,PV162381.1,PV162382.1,PV162383.1,PV162384.1,PV162385.1,PV162386.1,PV162387.1	Chicken	2024-12-31	North America	USA	West Virginia	H5N1
A/chicken/WV/25-000049-005-original/2024_H5N1	PV162388.1,PV162389.1,PV162390.1,PV162391.1,PV162392.1,PV162393.1,PV162394.1,PV162395.1	Chicken	2024-12-31	North America	USA	West Virginia	H5N1
A/chicken/WV/25-000049-006-original/2024_H5N1	PV162396.1,PV162397.1,PV162398.1,PV162399.1,PV162400.1,PV162401.1,PV162402.1,PV162403.1	Chicken	2024-12-31	North America	USA	West Virginia	H5N1
A/chicken/WV/25-000049-007-original/2024_H5N1	PV162404.1,PV162405.1,PV162406.1,PV162407.1,PV162408.1,PV162409.1,PV162410.1,PV162411.1	Chicken	2024-12-31	North America	USA	West Virginia	H5N1
A/chicken/WV/25-000049-008-original/2024_H5N1	PV162412.1,PV162413.1,PV162414.1,PV162415.1,PV162416.1,PV162417.1,PV162418.1,PV162419.1	Chicken	2024-12-31	North America	USA	West Virginia	H5N1
A/chicken/WV/25-000049-009-original/2024_H5N1	PV162420.1,PV162421.1,PV162422.1,PV162423.1,PV162424.1,PV162425.1,PV162426.1,PV162427.1	Chicken	2024-12-31	North America	USA	West Virginia	H5N1
A/chicken/WV/25-000049-010-original/2024_H5N1	PV162428.1,PV162429.1,PV162430.1,PV162431.1,PV162432.1,PV162433.1,PV162434.1,PV162435.1	Chicken	2024-12-31	North America	USA	West Virginia	H5N1
A/chicken/WV/25-000049-011-original/2024_H5N1	PV162436.1,PV162437.1,PV162438.1,PV162439.1,PV162440.1,PV162441.1,PV162442.1,PV162443.1	Chicken	2024-12-31	North America	USA	West Virginia	H5N1
A/chicken/Washington/W242850087-1/2024_H5N1	PQ824938.1,PQ824939.1,PQ824940.1,PQ824941.1,PQ824942.1,PQ824943.1,PQ824944.1,PQ824945.1	Chicken	2024-10-11	North America	USA	Washington	H5N1
A/chicken/Washington/W242850087-2/2024_H5N1	PQ825735.1,PQ825736.1,PQ825737.1,PQ825738.1,PQ825739.1,PQ825740.1,PQ825741.1,PQ825742.1	Chicken	2024-10-11	North America	USA	Washington	H5N1
A/goose/CT/25-003236-001-original/2025_H5N1	PV339257.1,PV339258.1,PV339259.1,PV339260.1,PV339261.1,PV339262.1,PV339263.1,PV339264.1	Wild Birds	2025-01-28	North America	USA	Connecticut	H5N1
A/goose/IL/25-001560-004-original/2025_H5N1	PV219158.1,PV219159.1,PV219160.1,PV219161.1,PV219162.1,PV219163.1,PV219164.1,PV219165.1	Wild Birds	2025-XX-XX	North America	USA	Illinois	H5N1
A/goose/IL/25-001560-005-original/2025_H5N1	PV219166.1,PV219167.1,PV219168.1,PV219169.1,PV219170.1,PV219171.1,PV219172.1,PV219173.1	Wild Birds	2025-XX-XX	North America	USA	Illinois	H5N1
A/goose/IL/25-001560-008-original/2025_H5N1	PV219174.1,PV219175.1,PV219176.1,PV219177.1,PV219178.1,PV219179.1,PV219180.1,PV219181.1	Wild Birds	2025-XX-XX	North America	USA	Illinois	H5N1
A/goose/MD/25-001223-001-original/2025_H5N1	PV219182.1,PV219183.1,PV219184.1,PV219185.1,PV219186.1,PV219187.1,PV219188.1,PV219189.1	Wild Birds	2025-XX-XX	North America	USA	Maryland	H5N1
A/goose/MI/25-000481-001-original/2025_H5N1	PV162452.1,PV162453.1,PV162454.1,PV162455.1,PV162456.1,PV162457.1,PV162458.1,PV162459.1	Wild Birds	2025-01-03	North America	USA	Michigan	H5N1
A/goose/MN/24-038159-004-original/2024_H5N1	PV072402.1,PV072403.1,PV072404.1,PV072405.1,PV072406.1,PV072407.1,PV072408.1,PV072409.1	Wild Birds	2024-12-17	North America	USA	Minnesota	H5N1
A/goose/NE/24-037518-002-original/2024_H5N1	PV072410.1,PV072411.1,PV072412.1,PV072413.1,PV072414.1,PV072415.1,PV072416.1,PV072417.1	Wild Birds	2024-12-13	North America	USA	Nebraska	H5N1
A/goose/NE/25-002670-001-original/2025_H5N1	PV339265.1,PV339266.1,PV339267.1,PV339268.1,PV339269.1,PV339270.1,PV339271.1,PV339272.1	Wild Birds	2025-01-23	North America	USA	Nebraska	H5N1
A/goose/NE/25-002670-002-original/2025_H5N1	PV339273.1,PV339274.1,PV339275.1,PV339276.1,PV339277.1,PV339278.1,PV339279.1,PV339280.1	Wild Birds	2025-01-23	North America	USA	Nebraska	H5N1
A/goose/NJ/25-001892-001-original/2025_H5N1	PV339281.1,PV339282.1,PV339283.1,PV339284.1,PV339285.1,PV339286.1,PV339287.1,PV339288.1	Wild Birds	2025-01-14	North America	USA	New Jersey	H5N1
A/goose/NJ/25-001892-002-original/2025_H5N1	PV339289.1,PV339290.1,PV339291.1,PV339292.1,PV339293.1,PV339294.1,PV339295.1,PV339296.1	Wild Birds	2025-01-14	North America	USA	New Jersey	H5N1
A/goose/NJ/25-001892-003-original/2025_H5N1	PV339297.1,PV339298.1,PV339299.1,PV339300.1,PV339301.1,PV339302.1,PV339303.1,PV339304.1	Wild Birds	2025-01-14	North America	USA	New Jersey	H5N1
A/goose/NJ/25-001892-004-original/2025_H5N1	PV339305.1,PV339306.1,PV339307.1,PV339308.1,PV339309.1,PV339310.1,PV339311.1,PV339312.1	Wild Birds	2025-01-14	North America	USA	New Jersey	H5N1
A/goose/NY/25-003591-002-original/2025_H5N1	PV339313.1,PV339314.1,PV339315.1,PV339316.1,PV339317.1,PV339318.1,PV339319.1,PV339320.1	Wild Birds	2025-01-29	North America	USA	New York	H5N1
A/goose/NY/25-003591-003-original/2025_H5N1	PV339321.1,PV339322.1,PV339323.1,PV339324.1,PV339325.1,PV339326.1,PV339327.1,PV339328.1	Wild Birds	2025-01-29	North America	USA	New York	H5N1
A/goose/NY/25-003591-008-original/2025_H5N1	PV339329.1,PV339330.1,PV339331.1,PV339332.1,PV339333.1,PV339334.1,PV339335.1,PV339336.1	Wild Birds	2025-01-29	North America	USA	New York	H5N1
